Mes,Leads,Efectivos,SDC,PDM,Citas Efectivas,Ventas,Conversion,Aporte,Canal,Citas Programadas
"Febrero, 24",329,0,0,22,4,9,0.02735562310030395,0,Piso,9
"Marzo, 24",19,0,0,13,16,4,0.21052631578947367,0.3333333333333333,Piso,28
"Abril, 24",76,0,0,35,6,10,0.13157894736842105,1.4285714285714286,Piso,15
"Mayo, 24",87,0,0,40,16,1,0.011494252873563218,0.125,Piso,38
"Junio, 24",55,0,0,28,60,3,0.05454545454545454,0.23076923076923078,Piso,78
"Julio, 24",92,0,51,35,57,10,0.10869565217391304,1.6666666666666667,Piso,75
"Agosto, 24",77,0,32,31,46,9,0.11688311688311688,0.42857142857142855,Piso,65
"Septiembre, 24",57,0,28,28,19,6,0.10526315789473684,0.35294117647058826,Piso,37
"Octubre, 24",43,0,38,14,25,3,0.06976744186046512,0.17647058823529413,Piso,31
"Noviembre, 24",50,0,32,25,14,11,0.22,0.4782608695652174,Piso,18
"Diciembre, 24",64,0,42,32,36,8,0.125,0.36363636363636365,Piso,42
"Enero, 25",71,71,34,28,71,10,0.14084507042253522,0.3125,Piso,71
"Febrero, 25",64,64,23,33,64,11,0.171875,0.4230769230769231,Piso,64
"Marzo, 25",80,80,28,32,80,9,0.1125,0.45,Piso,80
"Abril, 25",43,43,13,28,34,13,0.3023255813953488,0.43333333333333335,Piso,34
"Mayo, 25",65,65,16,34,65,12,0.18461538461538463,0.4,Piso,65
"Junio, 25",59,59,13,31,59,10,0.1694915254237288,0.29411764705882354,Piso,59
"Julio, 25",63,63,12,29,63,7,0.1111111111111111,0.175,Piso,63
"Agosto, 25",71,71,22,44,71,7,0.09859154929577464,0.19444444444444445,Piso,71
"Septiembre, 25",58,58,21,31,58,7,0.1206896551724138,0.25925925925925924,Piso,58
"Octubre, 25",72,72,24,48,72,11,0.1527777777777778,0.2894736842105263,Piso,72
"Noviembre, 25",81,81,21,43,81,9,0.1111111111111111,0.225,Piso,81
"Diciembre, 25",76,76,27,22,76,9,0.11842105263157894,0.2647058823529412,Piso,76
"Enero, 26",97,97,27,46,97,6,0.061855670103092786,0.17647058823529413,Piso,97
"Febrero, 26",94,94,18,28,94,7,0.07446808510638298,0.18421052631578946,Piso,94
"Marzo, 26",105,105,24,41,105,8,0.0761904761904762,0.26666666666666666,Piso,105
"Abril, 26",79,79,18,36,10,9,0.11392405063291139,0.21951219512195122,Piso,12
"Mayo, 26",115,115,24,45,59,9,0.0782608695652174,0.21951219512195122,Piso,73
